"CountryName","SPPOPTOTL19","percPop","cumPercPop"
"Azerbaijan",10024283,0.00148473768071975,0.973068034737663
"Hungary",9771141,0.00144724378056023,0.974515278518223
"Honduras",9746115,0.00144353707702865,0.975958815595252
"Belarus",9419758,0.00139519900284752,0.9773540145981
"Israel",9054000,0.00134102508490998,0.97869503968301
"Austria",8879920,0.00131524138192995,0.980010281064939
"Switzerland",8575280,0.00127011990171491,0.981280400966654
"Togo",8082359,0.00119711135014887,0.982477512316803
"Paraguay",7044639,0.00104341038360229,0.983520922700406
"Bulgaria",6975761,0.00103320858044364,0.984554131280849
"Nicaragua",6545503,0.000969481302888612,0.985523612583738
"Kyrgyz Republic",6456200,0.000956254269184425,0.986479866852922
"El Salvador",6453550,0.000955861766812544,0.987435728619735
"Denmark",5814422,0.000861197896648159,0.988296926516383
"Finland",5521606,0.000817827717582221,0.989114754233965
"Slovak Republic",5454147,0.000807836088335154,0.9899225903223
"Congo, Rep.",5380504,0.00079692852147763,0.990719518843778
"Norway",5347896,0.000792098816820159,0.991511617660598
"Costa Rica",5047561,0.000747614967816797,0.992259232628415
"Ireland",4934340,0.000730845341006703,0.992990077969422
"Panama",4246440,0.000628957649830474,0.993619035619252
"Croatia",4065253,0.000602121299923297,0.994221156919175
"Georgia",3720161,0.000551008308030017,0.994772165227205
"Uruguay",3461731,0.000512731180495968,0.995284896407701
"Mongolia",3225166,0.000477692567815194,0.995762588975517
"Armenia",2957728,0.000438081228444954,0.996200670203962
"Jamaica",2948277,0.000436681402061313,0.996637351606023
"Albania",2854191,0.000422745938604405,0.997060097544627
"Moldova",2664974,0.000394720232453377,0.997454817777081
"Namibia",2494524,0.00036947418366578,0.997824291960746
"Botswana",2303703,0.000341210902494186,0.998165502863241
"Lesotho",2125267,0.000314782014483252,0.998480284877724
"Slovenia",2088385,0.000309319270151283,0.998789604147875
"North Macedonia",2076694,0.000307587668177826,0.999097191816053
"Latvia",1913822,0.000283464028059706,0.999380655844113
"Estonia",1326898,0.000196532306507276,0.99957718815062
"Mauritius",1265711,0.000187469648911695,0.999764657799532
"Cyprus",1198574,0.000177525712405665,0.999942183511937
"Belize",390351,5.78164880627009e-05,1
