Table,Indicator,PCT
WB_Gender,SESECCUATPOMAZS,0.05326322301268172
WB_Gender,SESECCUATPOZS,0.05400556758428704
WB_Gender,SESECCUATUPFEZS,0.07101763068357562
WB_Gender,SESECCUATUPMAZS,0.07101763068357562
WB_Gender,SESECCUATUPZS,0.07151252706464584
WB_Gender,SESECENRLFEVOZS,0.3386947107949273
WB_Gender,SESECENRLFEZS,0.5020105165480977
WB_Gender,SESECENRLMAVOZS,0.4763996288277142
WB_Gender,SESECENRLVO,0.5237859573151872
WB_Gender,SESECENRLVOFEZS,0.46272811630064953
WB_Gender,SESECENRLVOZS,0.5350448499845345
WB_Gender,SESECPROGFEZS,0.2702752861119703
WB_Gender,SESECPROGMAZS,0.27250231982678624
WB_Gender,SESECPROGZS,0.32106402721930094
WB_Gender,SESECTCHRFEZS,0.3737704918032787
WB_Gender,SETERCMPLFEZS,0.09007114135477884
WB_Gender,SETERCMPLMAZS,0.09000927930714507
WB_Gender,SETERCMPLZS,0.09403031240334055
WB_Gender,SETERCUATBAFEZS,0.03179709248376121
WB_Gender,SETERCUATBAMAZS,0.03179709248376121
WB_Gender,SETERCUATBAZS,0.03198267862666254
WB_Gender,SETERCUATDOFEZS,0.019857717290442313
WB_Gender,SETERCUATDOMAZS,0.019857717290442313
WB_Gender,SETERCUATDOZS,0.01991957933807609
WB_Gender,SETERCUATMSFEZS,0.023940612434271574
WB_Gender,SETERCUATMSMAZS,0.023940612434271574
WB_Gender,SETERCUATMSZS,0.024064336529539126
WB_Gender,SETERCUATSTFEZS,0.06594494277760594
WB_Gender,SETERCUATSTMAZS,0.06594494277760594
WB_Gender,SETERCUATSTZS,0.06650170120630992
WB_Gender,SETERENRRMA,0.4456541911537272
WB_Gender,SETERGRADFEAGZS,0.07701824930405196
WB_Gender,SETERGRADFEEDZS,0.08475100525827405
WB_Gender,SETERGRADFEENZS,0.08085369625734612
WB_Gender,SETERGRADFEHLZS,0.08493659140117538
WB_Gender,SETERGRADFEHUZS,0.08369935044849984
WB_Gender,SETERGRADFEOTZS,0.03816888339004021
WB_Gender,SETERGRADFESCZS,0.06978038973090009
WB_Gender,SETERGRADFESIZS,0.07565728425610888
WB_Gender,SETERGRADFESSZS,0.06978038973090009
WB_Gender,SETERGRADFESVZS,0.07157438911227962
WB_Gender,SETERTCHRFEZS,0.3061552737395608
WB_Gender,SEXPDPRIMPCZS,0.11766161459944324
WB_Gender,SEXPDSECOPCZS,0.10287658521497062
WB_Gender,SGABSPENB,0.5962882771419734
WB_Gender,SGAGEFUPNEQ,0.5962882771419734
WB_Gender,SGAGEMRETEQ,0.5962882771419734
WB_Gender,SGAGEPAPNEQ,0.5962882771419734
WB_Gender,SGAGERTREFE,0.007856480049489639
WB_Gender,SGAGERTREFLFE,0.021899164862356945
WB_Gender,SGAGERTREFLMA,0.021899164862356945
WB_Gender,SGAGERTREMA,0.007918342097123415
